X1,EDAT,SEXE,ANTIGUETAT,ESCOLA,DEPARTAMENT,TIPUS,ALTRAUNI,REDUCCIO,DOCTOR,ANYTESI,RAOTESI,ACREDITACIO,ANYACREDITACIO,FENTTESI,RAOFENTTESI,DISPOSATTESI,CARRERA,ASSOCIAT,FALSASSOCIAT,EXPECTATIVES,GESTIO,RENOVACIO,X2,BONTRACTE,X3,FORMACIO,SATISFET,ASSEMBLEES,MOBILITZACIONS
"44130,61871",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ESEIAAT,715/EIO,No ho sé,1,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,0 - No,0 - No contesto,2 - Si,,3,,4,3,1 - No contesto,1 - No contesto
"44130,62778",De 35 a 44 anys,Home,4 - Entre 11 i 20 anys,EEBE,0 - No contesto,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,2 - Si,2 - Si,2 - Si,3 - Si,3 - Grau i Màster,1 - No,,3,,4,4,2 - Si,2 - Si
"44130,63301",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ETSAB,740/UOT,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,2 - Si,1 - No contesto,1 - No contesto,2 - Depèn,0 - No contesto,1 - No,,3,,3,3,1 - No contesto,1 - No contesto
"44130,63403",De 25 a 34 anys,Home,2 - Entre 2 i 5 anys,ESEIAAT,707/ESAII,No ho sé,1,1 - No,2 - Si,2019,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,2 - Si,0 - No,2 - Depèn,1 - Grau,1 - No,,4,,3,3,2 - Si,0 - No
"44130,6388",De 35 a 44 anys,Dona,2 - Entre 2 i 5 anys,ETSEIB,712/EM,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,4,3,2 - Si,1 - No contesto
"44130,64637",De 35 a 44 anys,Home,4 - Entre 11 i 20 anys,ETSECCPB,977/FLUMEN,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,2 - Si,1 - No contesto,2 - Si,2 - Depèn,2 - Màster,2 - Si,,2,,1,1,1 - No contesto,2 - Si
"44130,64847",De 25 a 34 anys,Dona,1 - Menys de 2 anys,"ESEIAAT, FOOT",756/THATC,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,0 - No,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,3,2,0 - No,1 - No contesto
"44130,64863",De 25 a 34 anys,Home,2 - Entre 2 i 5 anys,"FME, EEBE, EETAC",749/MAT,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,2 - Si,0 - No,2 - Si,3 - Si,0 - No contesto,1 - No,,4,,3,2,1 - No contesto,1 - No contesto
"44130,65136",De 45 a 54 anys,Dona,1 - Menys de 2 anys,ETSEIB,732/OE,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,2,3,0 - No,1 - No contesto
"44130,65547",De 45 a 54 anys,Dona,1 - Menys de 2 anys,FOOT,0 - No contesto,No ho sé,0,1 - No,2 - Si,2008,2 - Carrera profesional,Lector/a,2011,1 - No contesto,0 - No contesto,1 - No contesto,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,2,2,1 - No contesto,1 - No contesto
"44130,66848",De 45 a 54 anys,Dona,3 - Entre 6 i 10 anys,ETSAB,735/PA,Tipus T1,0,1 - No,2 - Si,2012,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,2 - Si,0 - No,1 - No contesto,3 - Si,0 - No contesto,1 - No,,0 - No contesto,,1,2,1 - No contesto,1 - No contesto
"44130,67243",De 45 a 54 anys,Home,3 - Entre 6 i 10 anys,"ETSEIB, EEBE",737/RMEE,No ho sé,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,0 - No,2 - Si,0 - No,0 - No,0 - No contesto,1 - No,,4,,4,4,1 - No contesto,1 - No contesto
"44130,67522",De 25 a 34 anys,Dona,2 - Entre 2 i 5 anys,ESEIAAT,758/EPC,Tipus T1,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,1 - No contesto,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,4,4,2 - Si,2 - Si
"44130,68187",De 25 a 34 anys,Dona,1 - Menys de 2 anys,ETSAV,0 - No contesto,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,0 - No,0 - No,2 - Si,0 - No,3 - Si,0 - No contesto,1 - No,,3,,4,3,1 - No contesto,2 - Si
"44130,68936",De 45 a 54 anys,Home,4 - Entre 11 i 20 anys,ETSECCPB,751/DECA,Tipus T2,0,2 - Si,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,3 - Si,0 - No,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,3,,3,3,2 - Si,2 - Si
"44130,68959",De 35 a 44 anys,Dona,3 - Entre 6 i 10 anys,ETSEIB,712/EM,Tipus T2,0,1 - No,2 - Si,2018,4 - Vull fer carrera acadèmica,Cap,0 - No contesto,1 - No contesto,0 - No contesto,1 - No contesto,1 - No contesto,0 - No,1 - No contesto,2 - Depèn,2 - Màster,1 - No,,1,,1,1,2 - Si,2 - Si
"44130,70215",De 25 a 34 anys,Dona,1 - Menys de 2 anys,EETAC,749/MAT,Tipus T1,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,2 - Si,4 - Acadèmica,1 - No contesto,0 - No,0 - No,2 - Si,2 - Depèn,0 - No contesto,1 - No,,3,,2,2,1 - No contesto,2 - Si
"44130,70729",De 45 a 54 anys,Home,3 - Entre 6 i 10 anys,EPSEM,750/EMIT,No ho sé,0,1 - No,1 - No,0 - No contesto,0 - No contesto,0 - No contesto,0 - No contesto,0 - No,0 - No contesto,2 - Potser,2 - Si,2 - Si,0 - No,2 - Depèn,0 - No contesto,1 - No,,4,,4,4,1 - No contesto,1 - No contesto
